left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
-0.9027413,0.5523036,0.120213166,-0.8040252,0.30880558,0.050063267,-0.76806545,0.07479636,0.03185314,-0.7955477,-0.14278945,0.019363806,-0.8367478,-0.31276336,0.00866729,-0.95684034,-0.03329309,0.10725592,-0.99390835,-0.28268552,0.07363272,-1.0232698,-0.44351104,0.040641982,-1.052064,-0.58314383,0.017647717,-1.0422391,0.011526159,0.11901866,-1.0981638,-0.24481061,0.0899482,-1.1369413,-0.4219821,0.05471533,-1.1690894,-0.5770725,0.029398715,-1.1129444,0.097468734,0.1189248,-1.1817008,-0.12617032,0.08476691,-1.2207646,-0.28365853,0.053189714,-1.2487001,-0.42598844,0.033667475,-1.1752485,0.21644954,0.11198149,-1.2379239,0.05360671,0.078621455,-1.275018,-0.060246903,0.059573967,-1.3050352,-0.17631374,0.049145076,0.8394582,0.614218,0.1202124,0.72988534,0.38595194,0.07308361,0.6817275,0.105460264,0.05440677,0.6577106,-0.13306358,0.034847483,0.6473005,-0.33439445,0.018614588,0.8416306,-0.12507205,0.12877458,0.8654279,-0.3930877,0.09381245,0.87660044,-0.5558536,0.056271266,0.8894319,-0.7065685,0.026835699,0.92713976,-0.096881956,0.12060449,0.95336074,-0.37350026,0.092770346,0.9602692,-0.55795646,0.057245962,0.9605078,-0.7338224,0.02940454,1.0009004,-0.021833245,0.10081627,1.0378857,-0.2664813,0.07083264,1.0446166,-0.43408483,0.045770716,1.0398753,-0.5960746,0.026742017,1.0680847,0.09005269,0.07411723,1.1230375,-0.09141764,0.046162713,1.1471307,-0.22994447,0.031053314,1.1614703,-0.3718595,0.020349026,-0.02665469,-1.0102105,-1.4959016,0.19465627,-1.0495125,-0.51749164,-0.23965958,-1.0816716,-0.19090945,0.5,-0.022578273,-0.22083391,-0.5,0.022578273,0.22083391,neutral
-0.90896225,0.5591618,0.1299647,-0.80803555,0.30857867,0.060539387,-0.7712015,0.074630275,0.043736994,-0.79924285,-0.14375989,0.032350603,-0.84216994,-0.3131162,0.022965895,-0.96210134,-0.03355928,0.12491757,-0.9989102,-0.2846041,0.09366506,-1.0278007,-0.4449439,0.0609749,-1.0557103,-0.58452135,0.03784185,-1.0474032,0.011437942,0.13717815,-1.1031706,-0.24569765,0.10998118,-1.1414058,-0.4229071,0.07376965,-1.1724416,-0.5776985,0.047597785,-1.1189954,0.097511366,0.13727655,-1.187241,-0.12788838,0.10440319,-1.2264402,-0.28686988,0.07154582,-1.2539982,-0.42951602,0.050978113,-1.1823887,0.2156217,0.13057281,-1.2443774,0.05380745,0.09793432,-1.282158,-0.059828922,0.07835946,-1.3125061,-0.17541547,0.06750047,0.84152323,0.61891294,0.12996389,0.7286313,0.38936776,0.08205534,0.67946,0.10652715,0.06320044,0.65590566,-0.13508305,0.04357267,0.6457294,-0.3370518,0.027283086,0.84220004,-0.12546945,0.13877273,0.8661287,-0.3939541,0.104595855,0.87744594,-0.5563432,0.067471094,0.8904097,-0.70695525,0.03814172,0.92855316,-0.096302085,0.13074811,0.95569044,-0.37270203,0.10367819,0.9620272,-0.55673045,0.068544164,0.9617744,-0.7321556,0.040868856,1.0028238,-0.019748008,0.11095405,1.0400516,-0.26603377,0.081456445,1.0469118,-0.43405747,0.05674904,1.042848,-0.5966742,0.037883002,1.0708824,0.093575805,0.0841444,1.1258038,-0.09112277,0.056227915,1.1500111,-0.23143324,0.04130399,1.164925,-0.37524933,0.030752452,-0.030056017,-1.0140092,-1.5445544,0.19191928,-1.0545558,-0.54421586,-0.24313706,-1.0853649,-0.22463156,0.49999994,-0.027119335,-0.21332435,-0.50000006,0.027119335,0.21332434,neutral
-0.9251504,0.5753464,0.16303223,-0.8214637,0.32605782,0.09380021,-0.78415155,0.08878685,0.07720869,-0.8091168,-0.13441858,0.0657644,-0.8494224,-0.30837095,0.056268595,-0.97380894,-0.026322473,0.15969281,-1.0112693,-0.281053,0.1307869,-1.0406804,-0.44298562,0.099123016,-1.0691609,-0.5830997,0.0764811,-1.060512,0.019205013,0.17193958,-1.1165297,-0.23755716,0.14812094,-1.1561067,-0.4130228,0.11273681,-1.187801,-0.56516325,0.08665319,-1.1330608,0.10523445,0.17217311,-1.2011608,-0.123516314,0.14332578,-1.241482,-0.2799549,0.11230879,-1.2697239,-0.41972917,0.09223052,-1.1969986,0.22388402,0.16533692,-1.2614504,0.060587943,0.13656045,-1.2995851,-0.05193783,0.11964385,-1.329102,-0.16476808,0.110324554,0.8411563,0.63552916,0.16303141,0.7287723,0.4007689,0.11625285,0.68110746,0.114395745,0.09698186,0.65967417,-0.12709872,0.0767988,0.64891165,-0.3297174,0.059516516,0.84450793,-0.114077985,0.16712865,0.86799675,-0.3876477,0.12990093,0.8810525,-0.55214214,0.091198415,0.8963738,-0.70507085,0.060724586,0.93172216,-0.08395097,0.15747301,0.9588642,-0.36478868,0.12599847,0.9670744,-0.5499343,0.088036574,0.9690282,-0.72875124,0.058618218,1.0066849,-0.0047693155,0.13657399,1.0449762,-0.25384596,0.101994045,1.0523685,-0.42319965,0.07419898,1.048967,-0.5881594,0.053732153,1.0746577,0.113240965,0.10919202,1.1323228,-0.07143728,0.07656256,1.1580261,-0.21273397,0.05863696,1.173697,-0.35978287,0.046206623,-0.034445703,-1.0049319,-1.5885121,0.18785156,-1.046845,-0.579367,-0.2486716,-1.0768394,-0.258712,0.49999994,-0.027209375,-0.20617874,-0.50000006,0.027209554,0.20617872,neutral
-0.92155224,0.5876666,0.2237582,-0.8170783,0.34342152,0.15047534,-0.7776912,0.1062124,0.1295835,-0.8013025,-0.12366287,0.11459162,-0.8430798,-0.30485302,0.10130338,-0.96951175,-0.025351312,0.20887662,-1.0083523,-0.28053534,0.17460772,-1.0389736,-0.4433982,0.1397921,-1.0678599,-0.5860916,0.115120925,-1.0568728,0.020960001,0.22091772,-1.1142812,-0.23865789,0.19182087,-1.1545926,-0.41769028,0.15445507,-1.1865826,-0.57405466,0.12711877,-1.1293815,0.110916205,0.22094986,-1.1977586,-0.11888559,0.18699312,-1.2381202,-0.27793536,0.1546048,-1.2669011,-0.42113283,0.13392092,-1.1925086,0.23619412,0.21378116,-1.2568395,0.070113674,0.17993902,-1.2961161,-0.04464794,0.16065873,-1.3281136,-0.16079575,0.15001398,0.8311167,0.636429,0.22375745,0.72033685,0.40158787,0.17598884,0.67398965,0.1167598,0.15512826,0.6485948,-0.1282461,0.13396528,0.63135225,-0.33503926,0.115726754,0.8355512,-0.11230733,0.22539994,0.85994095,-0.38346073,0.18900357,0.87302333,-0.54587996,0.1511763,0.8888417,-0.6970765,0.1213887,0.9235825,-0.082597576,0.21683076,0.9520493,-0.366041,0.18699835,0.96098834,-0.55240834,0.15091802,0.96291167,-0.7309037,0.12242318,0.99839526,-0.002307349,0.19708823,1.0387568,-0.25159067,0.16383803,1.0461836,-0.41903657,0.13689177,1.0421354,-0.5827615,0.11658003,1.0653054,0.11642867,0.17086554,1.1242737,-0.06694247,0.13859874,1.1498737,-0.20830521,0.12048688,1.164605,-0.35635272,0.10769591,-0.03695036,-0.9883593,-1.5690705,0.18288271,-1.034687,-0.54032886,-0.2469098,-1.0627272,-0.28834194,0.49999997,-0.017255377,-0.13391295,-0.50000006,0.017255377,0.13391298,neutral
-0.9247685,0.6565725,0.23506021,-0.82454246,0.4075009,0.15826082,-0.7895081,0.16017097,0.13663724,-0.8128857,-0.07749992,0.1221894,-0.86122787,-0.2573851,0.1095215,-0.98426884,0.030919833,0.21385573,-1.0281179,-0.23498341,0.17933558,-1.0582912,-0.4009882,0.14426695,-1.0876764,-0.5487559,0.119179524,-1.0738328,0.08189305,0.22752859,-1.1370271,-0.18577787,0.19740883,-1.1775817,-0.36885834,0.15843137,-1.2099639,-0.52946067,0.12982003,-1.1483119,0.17651238,0.22943215,-1.2210702,-0.05726153,0.1951115,-1.2632186,-0.22523345,0.16007133,-1.2948593,-0.3776425,0.13719533,-1.2110517,0.30405787,0.22410196,-1.2757639,0.12966958,0.19001321,-1.3167119,0.013743116,0.16962354,-1.3513625,-0.10327545,0.15782093,0.8319735,0.68529004,0.23505944,0.7202945,0.44642255,0.18285406,0.673501,0.15660271,0.15699905,0.6469123,-0.09240516,0.13116892,0.62234956,-0.3034443,0.108060256,0.8384215,-0.07465827,0.22692007,0.86409044,-0.35228246,0.18572444,0.8786238,-0.51747143,0.14555857,0.89726347,-0.6716255,0.1144323,0.9280042,-0.042600002,0.21813667,0.95652103,-0.3309896,0.18288037,0.96646124,-0.51978767,0.14363354,0.9711951,-0.7031951,0.11330984,1.0042573,0.041003227,0.1982592,1.0459205,-0.20968173,0.15962231,1.0529922,-0.3802737,0.13017969,1.0488417,-0.5483369,0.10887684,1.0728712,0.16505396,0.17193726,1.1336576,-0.022694172,0.13662091,1.1588463,-0.16630964,0.11760996,1.1718106,-0.31679162,0.10441419,-0.041393362,-0.98482394,-1.5433903,0.17402837,-1.0481422,-0.5338639,-0.25174752,-1.0432637,-0.23476405,0.49999997,-0.030274574,-0.16763279,-0.50000006,0.030274574,0.16763276,neutral
-0.9212271,0.7012139,0.19514732,-0.8191781,0.4514023,0.115476586,-0.78247046,0.19225517,0.09130745,-0.80862045,-0.048143018,0.07473804,-0.86269665,-0.22726327,0.05996223,-0.9793336,0.058264576,0.16512944,-1.0256075,-0.20711185,0.12558189,-1.0605731,-0.3756164,0.08660813,-1.0955975,-0.5269594,0.058544934,-1.0711763,0.10793527,0.17706096,-1.137896,-0.15674374,0.14245802,-1.1800911,-0.34378207,0.10101754,-1.2161714,-0.5108292,0.07036483,-1.1456692,0.20481513,0.17706104,-1.2205929,-0.022867445,0.13768992,-1.2644335,-0.1929747,0.10019743,-1.300568,-0.3475687,0.07581493,-1.206823,0.3368157,0.16965955,-1.2741231,0.16231422,0.13084032,-1.3196981,0.046208452,0.10837766,-1.3615224,-0.06568628,0.0952891,0.840527,0.70594376,0.19514666,0.72252,0.471212,0.13834253,0.6772684,0.17702343,0.11125431,0.65396565,-0.07931516,0.08529375,0.6251125,-0.29224637,0.061994467,0.84403944,-0.059002135,0.18352808,0.8722421,-0.34137273,0.14295125,0.88859755,-0.5093658,0.10304228,0.90939724,-0.666513,0.07194278,0.93675196,-0.023406496,0.17679533,0.96747655,-0.312531,0.14298233,0.9806637,-0.5018046,0.10350704,0.9891024,-0.6845552,0.072711326,1.0151254,0.06370953,0.15881611,1.0580409,-0.18613951,0.121020384,1.0679765,-0.35698092,0.09096463,1.0670519,-0.52371895,0.0689983,1.0857413,0.18934575,0.13415541,1.1484281,0.00132203,0.09994188,1.1759945,-0.13975261,0.08158281,1.1929208,-0.28582895,0.06863494,-0.029928448,-1.032625,-1.5644988,0.1800315,-1.0934347,-0.55598575,-0.2378032,-1.077228,-0.28905806,0.5,-0.026559161,-0.18658671,-0.5,0.026559161,0.18658671,neutral
-0.9393974,0.7796048,0.20845528,-0.8382817,0.514079,0.13467509,-0.80339956,0.23994406,0.11505088,-0.83211976,0.0009558688,0.10109029,-0.88474876,-0.18077365,0.08900899,-1.0045857,0.10601255,0.19326806,-1.052412,-0.16046914,0.15548907,-1.0888268,-0.33118364,0.116795346,-1.1230239,-0.48285562,0.08842895,-1.0991956,0.15954815,0.2015341,-1.1673089,-0.11347107,0.16780937,-1.2117535,-0.30723765,0.1252361,-1.24806,-0.47889027,0.094007224,-1.1761355,0.2583844,0.19734888,-1.2539928,0.0132523095,0.15708923,-1.2999421,-0.1659499,0.117234,-1.3360373,-0.32873353,0.091298416,-1.238867,0.39558068,0.1861227,-1.308397,0.22359405,0.14574477,-1.3531971,0.109214015,0.12179512,-1.3921503,-0.0016913087,0.10785517,0.8554088,0.7731218,0.20845465,0.7388502,0.5378416,0.1514088,0.69334567,0.2353501,0.124147035,0.67358696,-0.030490791,0.09817482,0.650562,-0.25392047,0.07526312,0.86554307,-0.0067774244,0.19540763,0.8969284,-0.2987784,0.15398847,0.91585076,-0.46872684,0.11407157,0.939907,-0.6271442,0.082984045,0.9597532,0.033312857,0.18833546,0.992892,-0.26336488,0.15353104,1.0087441,-0.45533043,0.1137075,1.0207603,-0.6391068,0.08263019,1.0394263,0.12518072,0.16998965,1.0851126,-0.12985307,0.13131651,1.0977137,-0.3022191,0.10130164,1.1005062,-0.47147018,0.07928215,1.1119343,0.25554472,0.14496087,1.1783043,0.06554642,0.10970584,1.2091817,-0.077685416,0.0907984,1.230696,-0.22691014,0.07751617,-0.023930749,-1.0408473,-1.5237627,0.18555993,-1.1090602,-0.5508504,-0.2374325,-1.086961,-0.2826973,0.49999997,-0.015010831,-0.18830524,-0.50000006,0.015010661,0.18830524,neutral
-0.9449234,0.79066396,0.18334295,-0.8435,0.54173785,0.10062868,-0.81082904,0.26597235,0.07519235,-0.83837324,0.012938238,0.057343625,-0.89396757,-0.17257097,0.04059111,-1.0134658,0.11362318,0.14842662,-1.0598269,-0.16094911,0.1040182,-1.0996257,-0.33685306,0.062009264,-1.1374006,-0.48789066,0.032271463,-1.1075445,0.17050008,0.15946637,-1.1767184,-0.108028114,0.11988672,-1.2267566,-0.2999222,0.075018995,-1.2689612,-0.46649566,0.04220634,-1.1850736,0.2787583,0.15835324,-1.2677577,0.034331903,0.115819454,-1.3203013,-0.14288096,0.07732517,-1.3613387,-0.30103758,0.05185717,-1.2506154,0.42888972,0.14942917,-1.3283029,0.25315776,0.10731364,-1.3761255,0.13071795,0.083802275,-1.4166758,0.013500742,0.07007954,0.8538934,0.793468,0.18334238,0.73663926,0.5582291,0.12477026,0.68867654,0.25073972,0.09802708,0.666871,-0.017674157,0.07326556,0.6459536,-0.24275759,0.051836405,0.86029994,0.0028949552,0.1690429,0.89548755,-0.28978273,0.12768331,0.9173798,-0.46091104,0.087992996,0.9440007,-0.62005085,0.05748864,0.95703745,0.04563726,0.16364627,0.9935543,-0.2514148,0.13054603,1.0127213,-0.44439748,0.092626944,1.0268109,-0.62715536,0.06316686,1.0388008,0.13989033,0.14681728,1.086911,-0.113860734,0.10999916,1.1024177,-0.28401518,0.08229862,1.1077487,-0.45136353,0.062112674,1.1122904,0.27237508,0.12310398,1.1799666,0.082055956,0.09007958,1.213368,-0.0570916,0.073747784,1.2383008,-0.20153527,0.06256502,-0.023676952,-1.065638,-1.4815209,0.18012702,-1.1280739,-0.5214592,-0.238449,-1.1007619,-0.3038636,0.50000006,-0.015728572,-0.13166942,-0.49999997,0.015728572,0.13166939,neutral
-0.9275495,0.77096725,0.20316312,-0.8283603,0.53214467,0.12158049,-0.7977447,0.2658622,0.09374354,-0.8223762,0.021564268,0.07301308,-0.87753487,-0.16106977,0.05283743,-0.9978444,0.12172234,0.16074014,-1.0430294,-0.13861226,0.11209954,-1.0831947,-0.31024095,0.06888558,-1.121599,-0.46045408,0.038216013,-1.0896077,0.1736552,0.169167,-1.1584803,-0.09600181,0.12307717,-1.2094467,-0.28266254,0.076586984,-1.2538955,-0.4487458,0.042934917,-1.1641284,0.27835998,0.16599053,-1.2487562,0.046921123,0.11894165,-1.3044871,-0.12006398,0.080902666,-1.3498216,-0.27437535,0.05606929,-1.2269251,0.42382926,0.15513895,-1.3074542,0.26044598,0.11016085,-1.3574609,0.14194109,0.0853719,-1.4024043,0.022729233,0.07040644,0.83529025,0.784997,0.20316258,0.71829706,0.56011975,0.1439672,0.673106,0.2576088,0.11970037,0.6572759,-0.0027363112,0.09792151,0.6388067,-0.21972707,0.0794143,0.84278506,0.014983575,0.18811968,0.877872,-0.27238107,0.14832076,0.9012146,-0.44054052,0.10966611,0.9284316,-0.5960044,0.07943886,0.93856454,0.057600547,0.18341893,0.97440594,-0.23283379,0.151205,0.99381125,-0.42215848,0.113256484,1.0091813,-0.5999964,0.08337091,1.0182176,0.15010093,0.1673186,1.066421,-0.09729809,0.13082767,1.0833511,-0.26417196,0.102215946,1.0905658,-0.42812324,0.08078521,1.0905533,0.2812539,0.14432485,1.1577952,0.10271239,0.110509455,1.1904465,-0.028613975,0.093223095,1.2139524,-0.16668135,0.08094464,-0.022503968,-1.0615997,-1.5337608,0.17537628,-1.123476,-0.5288922,-0.23539655,-1.0997032,-0.36345714,0.5,-0.02353164,-0.08102794,-0.5,0.023531798,0.08102792,neutral
-0.91257155,0.7668784,0.18211776,-0.8192212,0.5229649,0.101185046,-0.7914462,0.26350862,0.07324956,-0.81987983,0.031439755,0.05225131,-0.8745586,-0.14539294,0.03222089,-0.9923384,0.13117872,0.14164875,-1.0391104,-0.12289478,0.09378718,-1.0781049,-0.28972796,0.050834574,-1.1147538,-0.43628252,0.02040195,-1.0813792,0.18461236,0.15059346,-1.1513547,-0.077818595,0.10577459,-1.2016288,-0.26014248,0.05983144,-1.2450768,-0.42325842,0.026553776,-1.1539611,0.2893024,0.14787154,-1.239119,0.060516544,0.101257354,-1.2945268,-0.10080732,0.06260803,-1.3390684,-0.24834265,0.03759352,-1.214191,0.43310285,0.13766484,-1.2953614,0.2791732,0.093215056,-1.346396,0.16880515,0.06800228,-1.391604,0.059795633,0.05289483,0.825999,0.78912145,0.18211722,0.7112664,0.5628412,0.122118324,0.66950965,0.2630542,0.09757058,0.65721536,0.003659785,0.07584787,0.6443385,-0.2120015,0.057249304,0.8388636,0.028229179,0.16620938,0.8780215,-0.25046104,0.12681329,0.901517,-0.4151435,0.088581726,0.92731744,-0.56845045,0.058557495,0.934235,0.07298364,0.1624337,0.9750071,-0.20929268,0.13009037,0.994485,-0.39513323,0.092615016,1.0082371,-0.5713043,0.063149005,1.0122178,0.16584814,0.14721085,1.0626358,-0.07448179,0.11028925,1.079182,-0.24040535,0.08131114,1.0860063,-0.4034227,0.059759304,1.0818152,0.29628024,0.12511224,1.1491877,0.12049899,0.090807304,1.1826825,-0.009883076,0.0726568,1.2075673,-0.14602834,0.05978802,-0.02115654,-1.0421695,-1.5154729,0.17322151,-1.1058937,-0.5461589,-0.23975371,-1.0819114,-0.3559497,0.5,-0.025143882,-0.074512005,-0.5,0.025143882,0.07451202,neutral
